,apicalls
33,apicalls::landroid/bluetooth/bluetoothdevice.createinsecurerfcommsockettoservicerecord
34,apicalls::landroid/bluetooth/bluetoothdevice.createrfcommsockettoservicerecord
35,apicalls::landroid/bluetooth/bluetoothdevice.fetchuuidswithsdp
36,apicalls::landroid/bluetooth/bluetoothdevice.getaddress
37,apicalls::landroid/bluetooth/bluetoothdevice.getbluetoothclass
38,apicalls::landroid/bluetooth/bluetoothdevice.getbluetoothdevicetype
39,apicalls::landroid/bluetooth/bluetoothdevice.getbondstate
40,apicalls::landroid/bluetooth/bluetoothdevice.getgattservices
41,apicalls::landroid/bluetooth/bluetoothdevice.getname
42,apicalls::landroid/bluetooth/bluetoothdevice.getremoteservicepaths
43,apicalls::landroid/bluetooth/bluetoothdevice.gettype
44,apicalls::landroid/bluetooth/bluetoothdevice.isledeviceconnected
45,apicalls::landroid/bluetooth/bluetoothgatt.close
46,apicalls::landroid/bluetooth/bluetoothgatt.connect
47,apicalls::landroid/bluetooth/bluetoothgatt.disconnect
48,apicalls::landroid/bluetooth/bluetoothgatt.discoverservices
49,apicalls::landroid/bluetooth/bluetoothgatt.getdevice
50,apicalls::landroid/bluetooth/bluetoothgatt.getservice
51,apicalls::landroid/bluetooth/bluetoothgatt.getservices
52,apicalls::landroid/bluetooth/bluetoothgatt.readcharacteristic
53,apicalls::landroid/bluetooth/bluetoothgatt.readdescriptor
54,apicalls::landroid/bluetooth/bluetoothgatt.readremoterssi
55,apicalls::landroid/bluetooth/bluetoothgatt.requestconnectionpriority
56,apicalls::landroid/bluetooth/bluetoothgatt.requestmtu
57,apicalls::landroid/bluetooth/bluetoothgatt.setcharacteristicnotification
58,apicalls::landroid/bluetooth/bluetoothgatt.writecharacteristic
59,apicalls::landroid/bluetooth/bluetoothgatt.writedescriptor
60,apicalls::landroid/bluetooth/bluetoothgattcallback.oncharacteristicchanged
61,apicalls::landroid/bluetooth/bluetoothgattcallback.oncharacteristicread
62,apicalls::landroid/bluetooth/bluetoothgattcallback.oncharacteristicwrite
63,apicalls::landroid/bluetooth/bluetoothgattcallback.onconnectionstatechange
64,apicalls::landroid/bluetooth/bluetoothgattcallback.ondescriptorread
65,apicalls::landroid/bluetooth/bluetoothgattcallback.ondescriptorwrite
66,apicalls::landroid/bluetooth/bluetoothgattcallback.onmtuchanged
67,apicalls::landroid/bluetooth/bluetoothgattcallback.onreadremoterssi
68,apicalls::landroid/bluetooth/bluetoothgattcallback.onreliablewritecompleted
69,apicalls::landroid/bluetooth/bluetoothgattcallback.onservicesdiscovered
70,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.adddescriptor
71,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getdescriptor
72,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getdescriptors
73,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getfloatvalue
74,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getinstanceid
75,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getintvalue
76,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getpermissions
77,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getproperties
78,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getservice
79,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getstringvalue
80,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getuuid
81,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getvalue
82,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.getwritetype
83,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.setvalue
84,apicalls::landroid/bluetooth/bluetoothgattcharacteristic.setwritetype
85,apicalls::landroid/bluetooth/bluetoothgattdescriptor.getcharacteristic
86,apicalls::landroid/bluetooth/bluetoothgattdescriptor.getpermissions
87,apicalls::landroid/bluetooth/bluetoothgattdescriptor.getuuid
88,apicalls::landroid/bluetooth/bluetoothgattdescriptor.getvalue
89,apicalls::landroid/bluetooth/bluetoothgattdescriptor.setvalue
90,apicalls::landroid/bluetooth/bluetoothgattserver.addservice
91,apicalls::landroid/bluetooth/bluetoothgattserver.cancelconnection
92,apicalls::landroid/bluetooth/bluetoothgattserver.clearservices
93,apicalls::landroid/bluetooth/bluetoothgattserver.close
94,apicalls::landroid/bluetooth/bluetoothgattserver.getservice
95,apicalls::landroid/bluetooth/bluetoothgattserver.notifycharacteristicchanged
96,apicalls::landroid/bluetooth/bluetoothgattserver.removeservice
97,apicalls::landroid/bluetooth/bluetoothgattserver.sendresponse
98,apicalls::landroid/bluetooth/bluetoothgattservercallback.oncharacteristicreadrequest
99,apicalls::landroid/bluetooth/bluetoothgattservercallback.oncharacteristicwriterequest
100,apicalls::landroid/bluetooth/bluetoothgattservercallback.onconnectionstatechange
101,apicalls::landroid/bluetooth/bluetoothgattservercallback.ondescriptorreadrequest
102,apicalls::landroid/bluetooth/bluetoothgattservercallback.ondescriptorwriterequest
103,apicalls::landroid/bluetooth/bluetoothgattservercallback.onnotificationsent
104,apicalls::landroid/bluetooth/bluetoothgattservercallback.onserviceadded
105,apicalls::landroid/bluetooth/bluetoothgattservice.addcharacteristic
106,apicalls::landroid/bluetooth/bluetoothgattservice.close
107,apicalls::landroid/bluetooth/bluetoothgattservice.deregisterwatcher
108,apicalls::landroid/bluetooth/bluetoothgattservice.discovercharacteristics
109,apicalls::landroid/bluetooth/bluetoothgattservice.getcharacteristic
110,apicalls::landroid/bluetooth/bluetoothgattservice.getcharacteristicclientconf
111,apicalls::landroid/bluetooth/bluetoothgattservice.getcharacteristics
112,apicalls::landroid/bluetooth/bluetoothgattservice.getcharacteristicuuid
113,apicalls::landroid/bluetooth/bluetoothgattservice.getincludedservices
114,apicalls::landroid/bluetooth/bluetoothgattservice.getinstanceid
115,apicalls::landroid/bluetooth/bluetoothgattservice.gettype
116,apicalls::landroid/bluetooth/bluetoothgattservice.getuuid
117,apicalls::landroid/bluetooth/bluetoothgattservice.registerwatcher
118,apicalls::landroid/bluetooth/bluetoothgattservice.setcharacteristicclientconf
119,apicalls::landroid/bluetooth/bluetoothgattservice.writecharacteristicraw
120,apicalls::landroid/bluetooth/bluetoothheadset.getconnecteddevices
121,apicalls::landroid/bluetooth/bluetoothheadset.getconnectionstate
122,apicalls::landroid/bluetooth/bluetoothheadset.isaudioconnected
123,apicalls::landroid/bluetooth/bluetoothmanager.getadapter
124,apicalls::landroid/bluetooth/bluetoothmanager.getconnecteddevices
125,apicalls::landroid/bluetooth/bluetoothmanager.getconnectionstate
126,apicalls::landroid/bluetooth/bluetoothmanager.opengattserver
127,apicalls::landroid/bluetooth/bluetoothprofile.getconnecteddevices
128,apicalls::landroid/bluetooth/bluetoothserversocket.accept
129,apicalls::landroid/bluetooth/bluetoothserversocket.close
130,apicalls::landroid/bluetooth/bluetoothsocket.close
131,apicalls::landroid/bluetooth/bluetoothsocket.connect
132,apicalls::landroid/bluetooth/bluetoothsocket.getinputstream
133,apicalls::landroid/bluetooth/bluetoothsocket.getoutputstream
134,apicalls::landroid/bluetooth/bluetoothsocket.getremotedevice
135,apicalls::landroid/bluetooth/bluetoothsocket.isconnected
136,apicalls::landroid/bluetooth/le/advertisecallback.onstartfailure
137,apicalls::landroid/bluetooth/le/advertisecallback.onstartsuccess
138,apicalls::landroid/bluetooth/le/bluetoothleadvertiser.startadvertising
139,apicalls::landroid/bluetooth/le/bluetoothleadvertiser.stopadvertising
140,apicalls::landroid/bluetooth/le/bluetoothlescanner.flushpendingscanresults
141,apicalls::landroid/bluetooth/le/bluetoothlescanner.startscan
142,apicalls::landroid/bluetooth/le/bluetoothlescanner.stopscan
143,apicalls::landroid/bluetooth/le/scancallback.onbatchscanresults
144,apicalls::landroid/bluetooth/le/scancallback.onscanfailed
145,apicalls::landroid/bluetooth/le/scancallback.onscanresult
146,apicalls::landroid/bluetooth/le/scanrecord.getadvertiseflags
147,apicalls::landroid/bluetooth/le/scanrecord.getbytes
148,apicalls::landroid/bluetooth/le/scanrecord.getdevicename
149,apicalls::landroid/bluetooth/le/scanrecord.getmanufacturerspecificdata
150,apicalls::landroid/bluetooth/le/scanrecord.getservicedata
151,apicalls::landroid/bluetooth/le/scanrecord.getserviceuuids
152,apicalls::landroid/bluetooth/le/scanrecord.gettxpowerlevel
153,apicalls::landroid/bluetooth/le/scanresult.getadvertisingsid
154,apicalls::landroid/bluetooth/le/scanresult.getdevice
155,apicalls::landroid/bluetooth/le/scanresult.getperiodicadvertisinginterval
156,apicalls::landroid/bluetooth/le/scanresult.getprimaryphy
157,apicalls::landroid/bluetooth/le/scanresult.getrssi
158,apicalls::landroid/bluetooth/le/scanresult.getscanrecord
159,apicalls::landroid/bluetooth/le/scanresult.getsecondaryphy
160,apicalls::landroid/bluetooth/le/scanresult.gettimestampnanos
161,apicalls::landroid/bluetooth/le/scanresult.gettxpower
162,apicalls::landroid/bluetooth/le/scansettings.getscanmode
163,apicalls::landroid/content/abstractthreadedsyncadapter.getcontext
164,apicalls::landroid/content/abstractthreadedsyncadapter.getsyncadapterbinder
165,apicalls::landroid/content/abstractthreadedsyncadapter.onsynccanceled
166,apicalls::landroid/content/activitynotfoundexception.getlocalizedmessage
167,apicalls::landroid/content/activitynotfoundexception.getmessage
168,apicalls::landroid/content/activitynotfoundexception.getstacktrace
169,apicalls::landroid/content/activitynotfoundexception.printstacktrace
170,apicalls::landroid/content/asyncqueryhandler.handlemessage
171,apicalls::landroid/content/asyncqueryhandler.onquerycomplete
172,apicalls::landroid/content/asyncqueryhandler.startinsert
173,apicalls::landroid/content/asyncqueryhandler.startquery
174,apicalls::landroid/content/asynctaskloader.cancelloadinbackground
175,apicalls::landroid/content/asynctaskloader.deliverresult
176,apicalls::landroid/content/asynctaskloader.dump
177,apicalls::landroid/content/asynctaskloader.oncanceled
178,apicalls::landroid/content/asynctaskloader.onreset
179,apicalls::landroid/content/asynctaskloader.onstartloading
180,apicalls::landroid/content/broadcastreceiver.getresultcode
181,apicalls::landroid/content/broadcastreceiver.getresultdata
182,apicalls::landroid/content/broadcastreceiver.getresultextras
183,apicalls::landroid/content/broadcastreceiver.goasync
184,apicalls::landroid/content/broadcastreceiver.isinitialstickybroadcast
185,apicalls::landroid/content/broadcastreceiver.isorderedbroadcast
186,apicalls::landroid/content/broadcastreceiver.onreceive
187,apicalls::landroid/content/broadcastreceiver.peekservice
188,apicalls::landroid/content/broadcastreceiver.setresult
189,apicalls::landroid/content/broadcastreceiver.setresultcode
190,apicalls::landroid/content/clipboardmanager.addprimaryclipchangedlistener
191,apicalls::landroid/content/clipboardmanager.clearprimaryclip
192,apicalls::landroid/content/clipboardmanager.getprimaryclip
193,apicalls::landroid/content/clipboardmanager.getprimaryclipdescription
194,apicalls::landroid/content/clipboardmanager.gettext
195,apicalls::landroid/content/clipboardmanager.hasprimaryclip
196,apicalls::landroid/content/clipboardmanager.hastext
197,apicalls::landroid/content/clipboardmanager.removeprimaryclipchangedlistener
198,apicalls::landroid/content/clipboardmanager.setprimaryclip
199,apicalls::landroid/content/clipboardmanager.settext
200,apicalls::landroid/content/clipdata.additem
201,apicalls::landroid/content/clipdata.getdescription
202,apicalls::landroid/content/clipdata.getitemat
203,apicalls::landroid/content/clipdata.getitemcount
204,apicalls::landroid/content/clipdata.newhtmltext
205,apicalls::landroid/content/clipdata.newintent
206,apicalls::landroid/content/clipdata.newplaintext
207,apicalls::landroid/content/clipdata.newrawuri
208,apicalls::landroid/content/clipdata.newuri
209,apicalls::landroid/content/clipdata.writetoparcel
210,apicalls::landroid/content/clipdescription.getlabel
211,apicalls::landroid/content/clipdescription.getmimetype
212,apicalls::landroid/content/clipdescription.getmimetypecount
213,apicalls::landroid/content/clipdescription.gettimestamp
214,apicalls::landroid/content/clipdescription.hasmimetype
215,apicalls::landroid/content/componentcallbacks.onconfigurationchanged
216,apicalls::landroid/content/componentcallbacks.onlowmemory
217,apicalls::landroid/content/componentcallbacks2.onconfigurationchanged
218,apicalls::landroid/content/componentcallbacks2.onlowmemory
219,apicalls::landroid/content/componentcallbacks2.ontrimmemory
220,apicalls::landroid/content/componentname.compareto
221,apicalls::landroid/content/componentname.flattentoshortstring
222,apicalls::landroid/content/componentname.flattentostring
223,apicalls::landroid/content/componentname.getclassname
224,apicalls::landroid/content/componentname.getpackagename
225,apicalls::landroid/content/componentname.getshortclassname
226,apicalls::landroid/content/componentname.readfromparcel
227,apicalls::landroid/content/componentname.toshortstring
228,apicalls::landroid/content/componentname.unflattenfromstring
229,apicalls::landroid/content/componentname.writetoparcel
230,apicalls::landroid/content/contentprovider.applybatch
231,apicalls::landroid/content/contentprovider.attachinfo
232,apicalls::landroid/content/contentprovider.canonicalize
233,apicalls::landroid/content/contentprovider.dump
234,apicalls::landroid/content/contentprovider.getcallingpackage
235,apicalls::landroid/content/contentprovider.getcontext
236,apicalls::landroid/content/contentprovider.gettype
237,apicalls::landroid/content/contentprovider.insert
238,apicalls::landroid/content/contentprovider.istemporary
239,apicalls::landroid/content/contentprovider.onconfigurationchanged
240,apicalls::landroid/content/contentprovider.oncreate
241,apicalls::landroid/content/contentprovider.openpipehelper
242,apicalls::landroid/content/contentprovider.query
243,apicalls::landroid/content/contentprovider.shutdown
244,apicalls::landroid/content/contentprovider.uncanonicalize
245,apicalls::landroid/content/contentproviderclient.applybatch
246,apicalls::landroid/content/contentproviderclient.bulkinsert
247,apicalls::landroid/content/contentproviderclient.call
248,apicalls::landroid/content/contentproviderclient.close
249,apicalls::landroid/content/contentproviderclient.delete
250,apicalls::landroid/content/contentproviderclient.getlocalcontentprovider
251,apicalls::landroid/content/contentproviderclient.getstreamtypes
252,apicalls::landroid/content/contentproviderclient.gettype
253,apicalls::landroid/content/contentproviderclient.openassetfile
254,apicalls::landroid/content/contentproviderclient.openfile
255,apicalls::landroid/content/contentproviderclient.opentypedassetfiledescriptor
256,apicalls::landroid/content/contentproviderclient.query
257,apicalls::landroid/content/contentproviderclient.release
258,apicalls::landroid/content/contentproviderclient.update
259,apicalls::landroid/content/contentprovideroperation.apply
260,apicalls::landroid/content/contentprovideroperation.geturi
261,apicalls::landroid/content/contentprovideroperation.newdelete
262,apicalls::landroid/content/contentprovideroperation.newinsert
263,apicalls::landroid/content/contentprovideroperation.newupdate
264,apicalls::landroid/content/contentquerymap.addobserver
265,apicalls::landroid/content/contentresolver.acquirecontentproviderclient
266,apicalls::landroid/content/contentresolver.acquireunstablecontentproviderclient
267,apicalls::landroid/content/contentresolver.addperiodicsync
268,apicalls::landroid/content/contentresolver.addstatuschangelistener
269,apicalls::landroid/content/contentresolver.applybatch
270,apicalls::landroid/content/contentresolver.bulkinsert
271,apicalls::landroid/content/contentresolver.call
272,apicalls::landroid/content/contentresolver.cancelsync
273,apicalls::landroid/content/contentresolver.delete
274,apicalls::landroid/content/contentresolver.getissyncable
275,apicalls::landroid/content/contentresolver.getmastersyncautomatically
276,apicalls::landroid/content/contentresolver.getoutgoingpersisteduripermissions
277,apicalls::landroid/content/contentresolver.getperiodicsyncs
278,apicalls::landroid/content/contentresolver.getpersisteduripermissions
279,apicalls::landroid/content/contentresolver.getstreamtypes
280,apicalls::landroid/content/contentresolver.getsyncautomatically
281,apicalls::landroid/content/contentresolver.gettype
282,apicalls::landroid/content/contentresolver.insert
283,apicalls::landroid/content/contentresolver.issyncactive
284,apicalls::landroid/content/contentresolver.loadthumbnail
285,apicalls::landroid/content/contentresolver.notifychange
286,apicalls::landroid/content/contentresolver.openassetfiledescriptor
287,apicalls::landroid/content/contentresolver.openfiledescriptor
288,apicalls::landroid/content/contentresolver.openinputstream
289,apicalls::landroid/content/contentresolver.openoutputstream
290,apicalls::landroid/content/contentresolver.opentypedassetfiledescriptor
291,apicalls::landroid/content/contentresolver.query
292,apicalls::landroid/content/contentresolver.registercontentobserver
293,apicalls::landroid/content/contentresolver.releasepersistableuripermission
294,apicalls::landroid/content/contentresolver.removeperiodicsync
295,apicalls::landroid/content/contentresolver.requestsync
296,apicalls::landroid/content/contentresolver.setissyncable
297,apicalls::landroid/content/contentresolver.setmastersyncautomatically
298,apicalls::landroid/content/contentresolver.setsyncautomatically
299,apicalls::landroid/content/contentresolver.takepersistableuripermission
300,apicalls::landroid/content/contentresolver.unregistercontentobserver
301,apicalls::landroid/content/contentresolver.update
302,apicalls::landroid/content/contentresolver.validatesyncextrasbundle
303,apicalls::landroid/content/contenturis.appendid
304,apicalls::landroid/content/contenturis.parseid
305,apicalls::landroid/content/contenturis.withappendedid
306,apicalls::landroid/content/contentvalues.clear
307,apicalls::landroid/content/contentvalues.containskey
308,apicalls::landroid/content/contentvalues.get
309,apicalls::landroid/content/contentvalues.getasboolean
310,apicalls::landroid/content/contentvalues.getasbytearray
311,apicalls::landroid/content/contentvalues.getasdouble
312,apicalls::landroid/content/contentvalues.getasfloat
313,apicalls::landroid/content/contentvalues.getasinteger
314,apicalls::landroid/content/contentvalues.getaslong
315,apicalls::landroid/content/contentvalues.getasshort
316,apicalls::landroid/content/contentvalues.getasstring
317,apicalls::landroid/content/contentvalues.keyset
318,apicalls::landroid/content/contentvalues.put
319,apicalls::landroid/content/contentvalues.putall
320,apicalls::landroid/content/contentvalues.putnull
321,apicalls::landroid/content/contentvalues.remove
322,apicalls::landroid/content/contentvalues.size
323,apicalls::landroid/content/contentvalues.valueset
324,apicalls::landroid/content/contentvalues.writetoparcel
325,apicalls::landroid/content/context.bindservice
326,apicalls::landroid/content/context.checkcallingorselfpermission
327,apicalls::landroid/content/context.checkcallingorselfuripermission
328,apicalls::landroid/content/context.checkcallingpermission
329,apicalls::landroid/content/context.checkpermission
330,apicalls::landroid/content/context.checkselfpermission
331,apicalls::landroid/content/context.checkuripermission
332,apicalls::landroid/content/context.createconfigurationcontext
333,apicalls::landroid/content/context.createdeviceencryptedstoragecontext
334,apicalls::landroid/content/context.createdeviceprotectedstoragecontext
335,apicalls::landroid/content/context.createpackagecontext
336,apicalls::landroid/content/context.databaselist
337,apicalls::landroid/content/context.deletedatabase
338,apicalls::landroid/content/context.deletefile
339,apicalls::landroid/content/context.deletesharedpreferences
340,apicalls::landroid/content/context.enforcecallingorselfpermission
341,apicalls::landroid/content/context.enforcepermission
342,apicalls::landroid/content/context.filelist
343,apicalls::landroid/content/context.getapplicationcontext
344,apicalls::landroid/content/context.getapplicationinfo
345,apicalls::landroid/content/context.getassets
346,apicalls::landroid/content/context.getattributiontag
347,apicalls::landroid/content/context.getbasepackagename
348,apicalls::landroid/content/context.getcachedir
349,apicalls::landroid/content/context.getclassloader
350,apicalls::landroid/content/context.getcodecachedir
351,apicalls::landroid/content/context.getcolor
352,apicalls::landroid/content/context.getcolorstatelist
353,apicalls::landroid/content/context.getcontentresolver
354,apicalls::landroid/content/context.getdatabasepath
355,apicalls::landroid/content/context.getdatadir
356,apicalls::landroid/content/context.getdir
357,apicalls::landroid/content/context.getdisplay
358,apicalls::landroid/content/context.getdrawable
359,apicalls::landroid/content/context.getexternalcachedir
360,apicalls::landroid/content/context.getexternalcachedirs
361,apicalls::landroid/content/context.getexternalfilesdir
362,apicalls::landroid/content/context.getexternalfilesdirs
363,apicalls::landroid/content/context.getexternalmediadirs
364,apicalls::landroid/content/context.getfilestreampath
365,apicalls::landroid/content/context.getmainexecutor
366,apicalls::landroid/content/context.getmainlooper
367,apicalls::landroid/content/context.getnobackupfilesdir
368,apicalls::landroid/content/context.getobbdir
369,apicalls::landroid/content/context.getobbdirs
370,apicalls::landroid/content/context.getoppackagename
371,apicalls::landroid/content/context.getpackagecodepath
372,apicalls::landroid/content/context.getpackagemanager
373,apicalls::landroid/content/context.getpackagename
374,apicalls::landroid/content/context.getpackageresourcepath
375,apicalls::landroid/content/context.getresources
376,apicalls::landroid/content/context.getsharedpreferences
377,apicalls::landroid/content/context.getstring
378,apicalls::landroid/content/context.getsystemservice
379,apicalls::landroid/content/context.getsystemservicename
380,apicalls::landroid/content/context.gettext
381,apicalls::landroid/content/context.gettheme
382,apicalls::landroid/content/context.granturipermission
383,apicalls::landroid/content/context.isdeviceencryptedstorage
384,apicalls::landroid/content/context.isdeviceprotectedstorage
385,apicalls::landroid/content/context.isrestricted
386,apicalls::landroid/content/context.movesharedpreferencesfrom
387,apicalls::landroid/content/context.obtainstyledattributes
388,apicalls::landroid/content/context.openfileinput
389,apicalls::landroid/content/context.openfileoutput
390,apicalls::landroid/content/context.openorcreatedatabase
391,apicalls::landroid/content/context.registercomponentcallbacks
392,apicalls::landroid/content/context.registerreceiver
393,apicalls::landroid/content/context.removestickybroadcast
394,apicalls::landroid/content/context.revokeuripermission
395,apicalls::landroid/content/context.sendbroadcast
396,apicalls::landroid/content/context.sendbroadcastasuser
397,apicalls::landroid/content/context.sendorderedbroadcast
398,apicalls::landroid/content/context.sendorderedbroadcastasuser
399,apicalls::landroid/content/context.sendstickybroadcast
400,apicalls::landroid/content/context.settheme
401,apicalls::landroid/content/context.startactivities
402,apicalls::landroid/content/context.startactivity
403,apicalls::landroid/content/context.startforegroundservice
404,apicalls::landroid/content/context.startintentsender
405,apicalls::landroid/content/context.startservice
406,apicalls::landroid/content/context.startserviceasuser
407,apicalls::landroid/content/context.stopservice
408,apicalls::landroid/content/context.unbindservice
409,apicalls::landroid/content/context.unregistercomponentcallbacks
410,apicalls::landroid/content/context.unregisterreceiver
411,apicalls::landroid/content/contextwrapper.attachbasecontext
412,apicalls::landroid/content/contextwrapper.bindservice
413,apicalls::landroid/content/contextwrapper.checkcallingorselfpermission
414,apicalls::landroid/content/contextwrapper.checkcallingpermission
415,apicalls::landroid/content/contextwrapper.checkpermission
416,apicalls::landroid/content/contextwrapper.checkselfpermission
417,apicalls::landroid/content/contextwrapper.createconfigurationcontext
418,apicalls::landroid/content/contextwrapper.createdisplaycontext
419,apicalls::landroid/content/contextwrapper.createpackagecontext
420,apicalls::landroid/content/contextwrapper.databaselist
421,apicalls::landroid/content/contextwrapper.deletedatabase
422,apicalls::landroid/content/contextwrapper.deletefile
423,apicalls::landroid/content/contextwrapper.getapplicationcontext
424,apicalls::landroid/content/contextwrapper.getapplicationinfo
425,apicalls::landroid/content/contextwrapper.getassets
426,apicalls::landroid/content/contextwrapper.getbasecontext
427,apicalls::landroid/content/contextwrapper.getcachedir
428,apicalls::landroid/content/contextwrapper.getclassloader
429,apicalls::landroid/content/contextwrapper.getcontentresolver
430,apicalls::landroid/content/contextwrapper.getdatabasepath
431,apicalls::landroid/content/contextwrapper.getdir
432,apicalls::landroid/content/contextwrapper.getexternalcachedir
433,apicalls::landroid/content/contextwrapper.getexternalfilesdir
434,apicalls::landroid/content/contextwrapper.getexternalfilesdirs
435,apicalls::landroid/content/contextwrapper.getfilesdir
436,apicalls::landroid/content/contextwrapper.getfilestreampath
437,apicalls::landroid/content/contextwrapper.getmainlooper
438,apicalls::landroid/content/contextwrapper.getnobackupfilesdir
439,apicalls::landroid/content/contextwrapper.getpackagecodepath
440,apicalls::landroid/content/contextwrapper.getpackagemanager
441,apicalls::landroid/content/contextwrapper.getpackagename
442,apicalls::landroid/content/contextwrapper.getpackageresourcepath
443,apicalls::landroid/content/contextwrapper.getresources
444,apicalls::landroid/content/contextwrapper.getsharedpreferences
445,apicalls::landroid/content/contextwrapper.getsystemservice
446,apicalls::landroid/content/contextwrapper.gettheme
447,apicalls::landroid/content/contextwrapper.granturipermission
448,apicalls::landroid/content/contextwrapper.openfileinput
449,apicalls::landroid/content/contextwrapper.openfileoutput
450,apicalls::landroid/content/contextwrapper.openorcreatedatabase
451,apicalls::landroid/content/contextwrapper.registercomponentcallbacks
452,apicalls::landroid/content/contextwrapper.registerreceiver
453,apicalls::landroid/content/contextwrapper.sendbroadcastasuser
454,apicalls::landroid/content/contextwrapper.sendorderedbroadcast
455,apicalls::landroid/content/contextwrapper.sendorderedbroadcastasuser
456,apicalls::landroid/content/contextwrapper.sendstickybroadcast
457,apicalls::landroid/content/contextwrapper.sendstickybroadcastasuser
458,apicalls::landroid/content/contextwrapper.sendstickyorderedbroadcast
459,apicalls::landroid/content/contextwrapper.sendstickyorderedbroadcastasuser
460,apicalls::landroid/content/contextwrapper.settheme
461,apicalls::landroid/content/contextwrapper.startactivities
462,apicalls::landroid/content/contextwrapper.startactivity
463,apicalls::landroid/content/contextwrapper.startforegroundservice
464,apicalls::landroid/content/contextwrapper.startservice
465,apicalls::landroid/content/contextwrapper.stopservice
466,apicalls::landroid/content/contextwrapper.unbindservice
467,apicalls::landroid/content/contextwrapper.unregistercomponentcallbacks
468,apicalls::landroid/content/contextwrapper.unregisterreceiver
469,apicalls::landroid/content/cursorloader.loadinbackground
470,apicalls::landroid/content/cursorloader.registerlistener
471,apicalls::landroid/content/cursorloader.startloading
472,apicalls::landroid/content/dialoginterface.cancel
473,apicalls::landroid/content/dialoginterface.dismiss
474,apicalls::landroid/content/entity.getsubvalues
475,apicalls::landroid/content/intent.addcategory
476,apicalls::landroid/content/intent.addflags
477,apicalls::landroid/content/intent.clonefilter
478,apicalls::landroid/content/intent.createchooser
479,apicalls::landroid/content/intent.describecontents
480,apicalls::landroid/content/intent.fillin
481,apicalls::landroid/content/intent.filterequals
482,apicalls::landroid/content/intent.filterhashcode
483,apicalls::landroid/content/intent.getaction
484,apicalls::landroid/content/intent.getbooleanarrayextra
485,apicalls::landroid/content/intent.getbooleanextra
486,apicalls::landroid/content/intent.getbundleextra
487,apicalls::landroid/content/intent.getbytearrayextra
488,apicalls::landroid/content/intent.getbyteextra
489,apicalls::landroid/content/intent.getcategories
